Oranges,0.15,"1 Frt,2-5/8 Diam",61.6,0,0.2,0,15.4,3.1,1.2,268.6,69.7,52.4,0.1
Bagels,0.16,1 Oz,78,0,0.5,151.4,15.1,0.6,3,0,0,21,1
Wheat Bread,0.05,1 Sl,65,0,1,134.5,12.4,1.3,2.2,0,0,10.8,0.7
White Bread,0.06,1 Sl,65,0,1,132.5,11.8,1.1,2.3,0,0,26.2,0.8
"Oatmeal Cookies",0.09,1 Cookie,81,0,3.3,68.9,12.4,0.6,1.1,2.9,0.1,6.7,0.5
Apple Pie,0.16,1 Oz,67.2,0,3.1,75.4,9.6,0.5,0.5,35.2,0.9,3.1,0.1
Chocolate Chip Cookies,0.03,1 Cookie,78.1,5.1,4.5,57.8,9.3,0,0.9,101.8,0,6.2,0.4
"Butter,Regular",0.05,1 Pat,35.8,10.9,4.1,41.3,0,0,0,152.9,0,1.2,0
Cheddar Cheese,0.25,1 Oz,112.7,29.4,9.3,173.7,0.4,0,7,296.5,0,202,0.2
"3.3% Fat,Whole Milk",0.16,1 C,149.9,33.2,8.1,119.6,11.4,0,8,307.4,2.3,291.3,0.1
2% Lowfat Milk,0.23,1 C,121.2,18.3,4.7,121.8,11.7,0,8.1,500.2,2.3,296.7,0.1
Skim Milk,0.13,1 C,85.5,4.4,0.4,126.2,11.9,0,8.4,499.8,2.4,302.3,0.1
Poached Eggs,0.08,Lrg Egg,74.5,211.5,5,140,0.6,0,6.2,316,0,24.5,0.7
Scrambled Eggs,0.11,1 Egg,99.6,211.2,7.3,168,1.3,0,6.7,409.2,0.1,42.6,0.7
"Bologna,Turkey",0.15,1 Oz,56.4,28.1,4.3,248.9,0.3,0,3.9,0,0,23.8,0.4
"Frankfurter, Beef",0.27,1 Frankfurter,141.8,27.4,12.8,461.7,0.8,0,5.4,0,10.8,9,0.6
"Ham,Sliced,Extralean",0.33,"1 Sl,6-1/4x4x1/16 In",37.1,13.3,1.4,405.1,0.3,0,5.5,0,7.4,2,0.2
"Kielbasa,Prk",0.15,"1 Sl,6x3- 3/4x1/16 In",80.6,17.4,7.1,279.8,0.6,0,3.4,0,5.5,11.4,0.4
Cap'N Crunch,0.31,1 Oz,119.6,0,2.6,213.3,23,0.5,1.4,40.6,0,4.8,7.5
