"Macaroni,Ckd",0.17,1/2 Cup,98.7,0,0.5,0.7,19.8,0.9,3.3,0,0,4.9,1
Peanut Butter,0.07,2 Tbsp,188.5,0,16,155.5,6.9,2.1,7.7,0,0,13.1,0.6
Pork,0.81,4 Oz,710.8,105.1,72.2,38.4,0,0,13.8,14.7,0,59.9,0.4
Sardines in Oil,0.45,2 Sardines,49.9,34.1,2.7,121.2,0,0,5.9,53.8,0,91.7,0.7
White Tuna in Water,0.69,3 Oz,115.6,35.7,2.1,333.2,0,0,22.7,68,0,3.4,0.5
"Popcorn,Air- Popped",0.04,1 Oz,108.3,0,1.2,1.1,22.1,4.3,3.4,55.6,0,2.8,0.8
"Potato Chips,Bbqflvr",0.22,1 Oz,139.2,0,9.2,212.6,15,1.2,2.2,61.5,9.6,14.2,0.5
Pretzels,0.12,1 Oz,108,0,1,486.2,22.5,0.9,2.6,0,0,10.2,1.2
Tortilla Chip,0.19,1 Oz,142,0,7.4,149.7,17.8,1.8,2,55.6,0,43.7,0.4
Chicknoodl Soup,0.39,1 C (8 Fl Oz),150.1,12.3,4.6,1862.2,18.7,1.5,7.9,1308.7,0,27.1,1.5
Splt Pea&Hamsoup,0.67,1 C (8 Fl Oz),184.8,7.2,4,964.8,26.8,4.1,11.1,4872,7,33.6,2.1
Vegetbeef Soup,0.71,1 C (8 Fl Oz),158.1,10,3.8,1915.1,20.4,4,11.2,3785.1,4.8,32.6,2.2
Neweng Clamchwd,0.75,1 C (8 Fl Oz),175.7,10,5,1864.9,21.8,1.5,10.9,20.1,4.8,82.8,2.8
Tomato Soup,0.39,1 C (8 Fl Oz),170.7,0,3.8,1744.4,33.2,1,4.1,1393,133,27.6,3.5
"New E Clamchwd,W/ Mlk",0.99,1 C (8 Fl Oz),163.7,22.3,6.6,992,16.6,1.5,9.5,163.7,3.5,186,1.5
"Crm Mshrm Soup,W/Mlk",0.65,1 C (8 Fl Oz),203.4,19.8,13.6,1076.3,15,0.5,6.1,153.8,2.2,178.6,0.6
"Beanbacn Soup,W/Watr",0.67,1 C (8 Fl Oz),172,2.5,5.9,951.3,22.8,8.6,7.9,888,1.5,81,2
